single	multi	sheets	sheet	target	cycle	detail	path
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	3	Tabelle1	G4	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	ExcelTable	H4	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/ExcelTables.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Flags	C4	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/FormatChoiceTests.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Flags	C4	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/FormatConditionTests.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	3	Sheet1	B13	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Formatting.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no-target	3	Sheet1	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/HeaderFooterComplexFormats.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	A1	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/InlineString.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	3	Sheet1	C7	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/InlineStrings.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	I16	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/MatrixFormulaEvalTestData.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	CF	A17	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/NewStyleConditionalFormattings.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	3	Sheet1	B2	cycle-err	OPC package error: source-backed OPC Part overlay is unavailable: existing relationships member 'xl/_rels/workbook.xml.rels' is not canonical	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/NewlineInFormulas.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot1_Row.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot1_Row_Grand.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot2_Row.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot2_Row_Compact.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot2_Row_Grand.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot2_Row_Subtotals.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	3	Sheet1	E5	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/SimpleMultiCell.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/SimpleNormal.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	B3	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/SimpleScatterChart.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/sharedStrings'	2	Sheet1	C6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/SimpleStrict.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	3	Sheet1	B3	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/SimpleWithComments.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	A2	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/SingleCellTable.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	3	Sheet1	M1	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Sparklines.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no-target	2	Formulas	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/StructuredReferences.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	5	Profile	B37	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	12	Exp1	A14	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/Tables.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	3	IntHeaders	B2	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/TablesWithDifferentHeaders.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	3	Sheet1	D6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/TextColor.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	A1	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/TwoSheetsNoneHidden.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	A1	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/TwoSheetsOneHidden.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	C11	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/autofilter-colors-fg.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	C11	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/autofilter-colors.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	C5	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/autofilter.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	B4	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/autofilternamedrange.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	3	Borders	E26	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/cell-borders.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Hoja1	A2	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/cell-multi-line.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	2	Sheet1	R2	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/chart_hyperlink.xlsx
yes	no-target	1	Sheet1	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/column_style.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	2	Sheet1	A1	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/condFormat_cellis.xlsx
yes	no-target	1	Hoja1	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/condformat_databar.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	2	databar	A5	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/condformat_theme_color.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	A3	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/conditional_fmt_checkpriority.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	B5	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/conditional_fmt_origin.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	I6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	A40	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/customxml.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	3	Sheet1	A2	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/decimal-format.xlsx
read-err	-	-	-	-	-	invalid XLSX structure: invalid worksheet dimension '1:5': invalid A1 range '1:5': invalid or out-of-grid A1 cell reference '1'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/duplicate-defined-names.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	2	Sheet1	A1	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/empty.xlsx
